UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_solar_production_forecast,avg_other_production_forecast
2023-11-09 18:00:00,2024-07-17 00:00:00,3.1,3.910875625748275,300.14942200147027,293.3998084806718,428.364727406762,0.2028239048357066,12790.65942,2946.77159,0.0,1019.74978
2023-11-09 19:00:00,2024-07-17 00:00:00,3.1,3.889538141271852,299.9108926190502,293.50668298483004,459.4778056055189,0.081909988008957,13407.34439,2949.99356,0.0,974.00875
2023-11-09 20:00:00,2024-07-17 00:00:00,3.1,3.889538141271852,299.9108926190502,293.50668298483004,459.4778056055189,0.081909988008957,13813.04394,2947.93671,0.00013,831.20754
2023-11-09 21:00:00,2024-07-17 00:00:00,3.1,3.889538141271852,299.9108926190502,293.50668298483004,459.4778056055189,0.081909988008957,14054.08096,2948.24906,9e-05,778.96788
2023-11-09 22:00:00,2024-07-17 00:00:00,3.1,3.942193521692503,298.3246321453591,293.9978614993778,255.9122576632543,0.1720876678959375,14104.12111,2955.57978,0.01423,852.72836
2023-11-09 23:00:00,2024-07-17 00:00:00,3.1,3.942193521692503,298.3246321453591,293.9978614993778,255.9122576632543,0.1720876678959375,13961.07869,2963.96064,0.02057,844.23225
2023-11-10 00:00:00,2024-07-17 00:00:00,3.1,3.942193521692503,298.3246321453591,293.9978614993778,255.9122576632543,0.1720876678959375,12784.8846,2961.46348,0.0,956.67578
2023-11-10 01:00:00,2024-07-17 00:00:00,3.1,4.050207887087915,297.79518788037706,294.0269205208734,0.0,0.1927941741934747,12235.24623,2969.04092,0.0,906.76798
2023-11-10 02:00:00,2024-07-17 00:00:00,3.1,4.050207887087915,297.79518788037706,294.0269205208734,0.0,0.1927941741934747,11795.019,2964.03501,0.0,842.90009
2023-11-10 03:00:00,2024-07-17 00:00:00,3.1,4.050207887087915,297.79518788037706,294.0269205208734,0.0,0.1927941741934747,11313.60099,2966.95833,0.01438,619.24309
2023-11-10 04:00:00,2024-07-17 00:00:00,3.1,4.017854401481592,297.3679695746438,293.734457325649,0.0,0.4824471797335509,10429.02397,2971.28074,0.0,523.14364
2023-11-10 05:00:00,2024-07-17 00:00:00,3.1,4.017854401481592,297.3679695746438,293.734457325649,0.0,0.4824471797335509,9585.71316,2952.06599,0.0,663.68604
2023-11-10 06:00:00,2024-07-17 00:00:00,3.1,4.017854401481592,297.3679695746438,293.734457325649,0.0,0.4824471797335509,8578.75975,2962.9504,0.0,604.10553
2023-11-10 07:00:00,2024-07-17 00:00:00,3.1,4.189851032470118,297.00456161567047,293.5974869875928,0.0,0.1922783518976667,7762.33578,2971.8986,0.0,588.14471
2023-11-10 08:00:00,2024-07-17 00:00:00,3.1,4.189851032470118,297.00456161567047,293.5974869875928,0.0,0.1922783518976667,7192.45149,2956.67785,0.0,609.58105
2023-11-10 09:00:00,2024-07-17 00:00:00,3.1,4.189851032470118,297.00456161567047,293.5974869875928,0.0,0.1922783518976667,6704.09451,2953.43369,0.0,650.47143
2023-11-10 10:00:00,2024-07-17 00:00:00,3.1,4.303824616370656,296.8380319908292,293.6048426253448,0.3583416546347512,0.3207113971908484,6634.20857,2966.11571,0.0,665.40583
2023-11-10 11:00:00,2024-07-17 00:00:00,3.1,4.303824616370656,296.8380319908292,293.6048426253448,0.3583416546347512,0.3207113971908484,7071.96404,2977.51669,0.0,667.7924
2023-11-10 12:00:00,2024-07-17 00:00:00,3.1,4.303824616370656,296.8380319908292,293.6048426253448,0.3583416546347512,0.3207113971908484,7359.90233,3002.0537,0.02719,743.00055
2023-11-10 13:00:00,2024-07-17 00:00:00,3.1,4.747358253762509,298.9768760579291,293.78128066157296,270.10322662364337,0.1034301206593301,8122.56816,2994.918,0.0,820.52597
2023-11-10 14:00:00,2024-07-17 00:00:00,3.1,4.747358253762509,298.9768760579291,293.78128066157296,270.10322662364337,0.1034301206593301,8980.39148,2992.69824,0.0,853.31212
2023-11-10 15:00:00,2024-07-17 00:00:00,3.1,4.747358253762509,298.9768760579291,293.78128066157296,270.10322662364337,0.1034301206593301,9806.9569,2991.9994,0.0,855.65453
2023-11-10 16:00:00,2024-07-17 00:00:00,3.1,4.5185620125107615,300.10015371396605,293.35989469585115,445.24852998255074,0.2180214495281091,10594.27596,2993.81662,0.00035,854.92655
2023-11-10 17:00:00,2024-07-17 00:00:00,3.1,4.5185620125107615,300.10015371396605,293.35989469585115,445.24852998255074,0.2180214495281091,11542.80064,2999.69937,0.0,865.09425
2023-11-10 18:00:00,2024-07-17 00:00:00,3.1,4.5185620125107615,300.10015371396605,293.35989469585115,445.24852998255074,0.2180214495281091,12354.55031,2999.9409,0.0,1019.74978
2023-11-10 19:00:00,2024-07-17 00:00:00,3.1,4.266356486397127,299.33242943338644,293.3794122374585,417.3113802059146,0.1226686060880645,12937.42945,3002.50511,0.0,974.00875
2023-11-10 20:00:00,2024-07-17 00:00:00,3.1,4.266356486397127,299.33242943338644,293.3794122374585,417.3113802059146,0.1226686060880645,13326.41986,2999.97466,0.00013,831.20754
2023-11-10 21:00:00,2024-07-17 00:00:00,3.1,4.266356486397127,299.33242943338644,293.3794122374585,417.3113802059146,0.1226686060880645,13555.71788,3000.05706,9e-05,778.96788
2023-11-10 22:00:00,2024-07-17 00:00:00,3.1,4.57008429371435,297.9089826720774,293.3914244282606,231.1351483133376,0.2689542991345849,13604.13533,3006.68067,0.01423,852.72836
2023-11-10 23:00:00,2024-07-17 00:00:00,3.1,4.57008429371435,297.9089826720774,293.3914244282606,231.1351483133376,0.2689542991345849,13474.59513,3014.55016,0.02057,844.23225
2023-11-11 00:00:00,2024-07-17 00:00:00,3.1,4.57008429371435,297.9089826720774,293.3914244282606,231.1351483133376,0.2689542991345849,12315.68854,2976.27531,0.0,956.67578
2023-11-11 01:00:00,2024-07-17 00:00:00,3.1,5.039197490072079,297.2417015815064,293.36267016927826,0.0,0.1042131427448523,11808.53526,2983.92995,0.0,906.76798
2023-11-11 02:00:00,2024-07-17 00:00:00,3.1,5.039197490072079,297.2417015815064,293.36267016927826,0.0,0.1042131427448523,11407.83766,2979.11103,0.0,842.90009
2023-11-11 03:00:00,2024-07-17 00:00:00,3.1,5.039197490072079,297.2417015815064,293.36267016927826,0.0,0.1042131427448523,10975.3171,2982.03293,0.01438,619.24309
2023-11-11 04:00:00,2024-07-17 00:00:00,3.1,4.866154326624068,296.8000647236736,293.3266110336742,0.0,0.1411518289579262,10174.57496,2986.2831,0.0,523.14364
2023-11-11 05:00:00,2024-07-17 00:00:00,3.1,4.866154326624068,296.8000647236736,293.3266110336742,0.0,0.1411518289579262,9412.77225,2966.95266,0.0,663.68604
2023-11-11 06:00:00,2024-07-17 00:00:00,3.1,4.866154326624068,296.8000647236736,293.3266110336742,0.0,0.1411518289579262,8495.36124,2977.72776,0.0,604.10553
2023-11-11 07:00:00,2024-07-17 00:00:00,3.1,4.50576371595481,296.4131270249777,293.2757346974133,0.0,0.1411518289579262,7762.06065,2986.52651,0.0,588.14471
2023-11-11 08:00:00,2024-07-17 00:00:00,3.1,4.50576371595481,296.4131270249777,293.2757346974133,0.0,0.1411518289579262,7246.20962,2971.4996,0.0,609.58105
2023-11-11 09:00:00,2024-07-17 00:00:00,3.1,4.50576371595481,296.4131270249777,293.2757346974133,0.0,0.1411518289579262,6797.92218,2968.09701,0.0,650.47143
2023-11-11 10:00:00,2024-07-17 00:00:00,3.1,4.181085960018942,296.17662243220343,293.3099186936898,0.3367748264958995,0.1364946043491412,6712.26418,2980.68814,0.0,665.40583
2023-11-11 11:00:00,2024-07-17 00:00:00,3.1,4.181085960018942,296.17662243220343,293.3099186936898,0.3367748264958995,0.1364946043491412,7093.13373,2992.05678,0.0,667.7924
2023-11-11 12:00:00,2024-07-17 00:00:00,3.1,4.181085960018942,296.17662243220343,293.3099186936898,0.3367748264958995,0.1364946043491412,7330.12956,3016.72529,0.02719,743.00055
2023-11-11 13:00:00,2024-07-17 00:00:00,3.1,4.212133219596416,297.7118106953068,293.33984880820066,231.72388759420463,0.1574789756023112,8012.7251,3009.51026,0.0,820.52597
2023-11-11 14:00:00,2024-07-17 00:00:00,3.1,4.212133219596416,297.7118106953068,293.33984880820066,231.72388759420463,0.1574789756023112,8785.02945,3007.19937,0.0,853.31212
2023-11-11 15:00:00,2024-07-17 00:00:00,3.1,4.212133219596416,297.7118106953068,293.33984880820066,231.72388759420463,0.1574789756023112,9532.99565,3006.47386,0.0,855.65453
2023-11-11 16:00:00,2024-07-17 00:00:00,3.1,4.181645853534944,298.2558029379966,292.8688461040575,375.8473007428912,0.4542587791222126,10253.68673,3008.17633,0.00035,854.92655
2023-11-11 17:00:00,2024-07-17 00:00:00,3.1,4.181645853534944,298.2558029379966,292.8688461040575,375.8473007428912,0.4542587791222126,11136.66029,3014.23096,0.0,865.09425
2023-11-11 18:00:00,2024-07-17 00:00:00,3.1,4.181645853534944,298.2558029379966,292.8688461040575,375.8473007428912,0.4542587791222126,11894.15999,3014.4621,0.0,1019.74978
2023-11-11 19:00:00,2024-07-17 00:00:00,3.1,5.314423819686439,297.4440633491149,292.6391257503242,352.03083364584444,0.4073398828988252,12443.09869,3016.84641,0.0,974.00875
2023-11-11 20:00:00,2024-07-17 00:00:00,3.1,5.314423819686439,297.4440633491149,292.6391257503242,352.03083364584444,0.4073398828988252,12816.72752,3014.18681,0.00013,831.20754
2023-11-11 21:00:00,2024-07-17 00:00:00,3.1,5.314423819686439,297.4440633491149,292.6391257503242,352.03083364584444,0.4073398828988252,13042.26835,3014.20641,9e-05,778.96788
2023-11-11 22:00:00,2024-07-17 00:00:00,3.1,6.3157917248926685,296.03352902998927,292.47556259940404,194.4107079280453,0.6137077582560068,13094.44743,3020.6369,0.01423,852.72836
2023-11-11 23:00:00,2024-07-17 00:00:00,3.1,6.3157917248926685,296.03352902998927,292.47556259940404,194.4107079280453,0.6137077582560068,12983.77897,3028.36662,0.02057,844.23225
