datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_solar_production_forecast,avg_other_production_forecast
2023-08-31 01:00:00,2023-08-30 02:35:36,3.0,8.694947970354194,301.22193018959405,297.08981854995017,261.4601996525123,24.84553042422191,13302.92559,3695.27786,0.0,1270504.78549
2023-08-31 02:00:00,2023-08-30 02:35:36,3.0,8.694947970354194,301.22193018959405,297.08981854995017,261.4601996525123,24.84553042422191,12455.33322,3704.29452,0.0,1150514.48557
2023-08-31 03:00:00,2023-08-30 02:35:36,3.0,8.694947970354194,301.22193018959405,297.08981854995017,261.4601996525123,24.84553042422191,11527.75709,3708.60796,58.63254,894243.26559
2023-08-31 04:00:00,2023-08-30 02:35:36,3.0,8.254109222852907,301.07328872023857,296.9858106007412,0.0,26.15817597294741,10495.6379,3708.26657,0.0,651321.49749
2023-08-31 05:00:00,2023-08-30 02:35:36,3.0,8.254109222852907,301.07328872023857,296.9858106007412,0.0,26.15817597294741,9584.64444,3698.463,64.55878,445347.81619
2023-08-31 06:00:00,2023-08-30 02:35:36,3.0,8.254109222852907,301.07328872023857,296.9858106007412,0.0,26.15817597294741,8500.9948,3702.75094,157.38292,267394.55939
2023-08-31 07:00:00,2023-08-30 02:35:36,3.0,7.534136194686591,300.77242175164844,297.07532483931936,0.0,27.000409723681138,7667.8506,3666.32801,17.65611,141833.58618
2023-08-31 08:00:00,2023-08-30 02:35:36,3.0,7.534136194686591,300.77242175164844,297.07532483931936,0.0,27.000409723681138,7211.86832,3667.37485,2.50511,22516.51373
2023-08-31 09:00:00,2023-08-30 02:35:36,3.0,7.534136194686591,300.77242175164844,297.07532483931936,0.0,27.000409723681138,6945.65369,3671.81696,22.67705,0.0
2023-08-31 10:00:00,2023-08-30 02:35:36,3.0,7.0635770124272845,300.82944519788987,297.21210811791383,0.0,27.632313324358265,7130.52443,3701.83442,91.46554,0.0
2023-08-31 11:00:00,2023-08-30 02:35:36,3.0,7.0635770124272845,300.82944519788987,297.21210811791383,0.0,27.632313324358265,7490.6185,3701.65074,0.0,11211.28618
2023-08-31 12:00:00,2023-08-30 02:35:36,3.0,7.0635770124272845,300.82944519788987,297.21210811791383,0.0,27.632313324358265,8185.71779,3703.21817,88.67332,63661.09988
2023-08-31 13:00:00,2023-08-30 02:35:36,3.0,7.260525228242221,302.8427885643838,297.15925331739,7.010111338592188,28.432330034313345,9187.93848,3700.55527,0.0,72140.40152
2023-08-31 14:00:00,2023-08-30 02:35:36,3.0,7.260525228242221,302.8427885643838,297.15925331739,7.010111338592188,28.432330034313345,10272.82325,3694.77569,0.0,58548.74972
