UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-11-29 17:00:00,2024-07-17 00:00:00,3.1,1.991309451645024,273.067492250546,265.7715705735513,71.39213067851028,0.3594817440607101,646.32085,1148.42098,8159.85402,46.72584,138.58295,138.37136
2023-11-29 18:00:00,2024-07-17 00:00:00,3.1,1.991309451645024,273.067492250546,265.7715705735513,71.39213067851028,0.3594817440607101,666.18979,1145.72532,7951.94858,60.05552,145.70782,136.06945
2023-11-29 19:00:00,2024-07-17 00:00:00,3.1,2.651271629259901,274.4790202322305,266.5451135590228,296.4118951900625,0.4179812256281857,684.44243,1144.51776,7721.00094,68.70604,168.22573,135.50969
2023-11-29 20:00:00,2024-07-17 00:00:00,3.1,2.651271629259901,274.4790202322305,266.5451135590228,296.4118951900625,0.4179812256281857,691.7622,1141.25376,7495.76383,70.35511,191.39089,136.83438
2023-11-29 21:00:00,2024-07-17 00:00:00,3.1,2.651271629259901,274.4790202322305,266.5451135590228,296.4118951900625,0.4179812256281857,685.16108,1141.04317,7473.79719,75.29478,215.25873,135.02644
2023-11-29 22:00:00,2024-07-17 00:00:00,3.1,2.351972500498381,271.8114122934263,267.05106577991626,207.92971810907056,0.8523454234113828,671.28203,1142.09391,7589.28392,74.02397,243.98544,136.49686
2023-11-29 23:00:00,2024-07-17 00:00:00,3.1,2.351972500498381,271.8114122934263,267.05106577991626,207.92971810907056,0.8523454234113828,667.87532,1142.72981,7808.58175,61.38031,258.85544,136.25027
2023-11-30 00:00:00,2024-07-17 00:00:00,3.1,2.351972500498381,271.8114122934263,267.05106577991626,207.92971810907056,0.8523454234113828,639.89816,1148.92169,8357.44872,44.82285,149.89448,131.16943
2023-11-30 01:00:00,2024-07-17 00:00:00,3.1,2.4212497700921856,270.8351205618814,267.068235876963,0.6306028370373211,0.4235595031533337,634.1735,1149.93994,8958.08662,34.97337,144.1494,132.23994
2023-11-30 02:00:00,2024-07-17 00:00:00,3.1,2.4212497700921856,270.8351205618814,267.068235876963,0.6306028370373211,0.4235595031533337,623.7198,1151.80968,9473.60316,23.97032,131.49589,130.9074
2023-11-30 03:00:00,2024-07-17 00:00:00,3.1,2.4212497700921856,270.8351205618814,267.068235876963,0.6306028370373211,0.4235595031533337,616.71076,1152.93911,9505.21261,10.76942,121.77602,129.96784
2023-11-30 04:00:00,2024-07-17 00:00:00,3.1,2.4776087533780893,270.5323911045823,267.21165457720883,0.3152835745642962,0.79657421280209,610.29186,1154.01429,9259.94775,0.95946,123.85977,129.49741
2023-11-30 05:00:00,2024-07-17 00:00:00,3.1,2.4776087533780893,270.5323911045823,267.21165457720883,0.3152835745642962,0.79657421280209,601.54219,1153.85295,8853.12072,0.0,131.37542,130.55619
2023-11-30 06:00:00,2024-07-17 00:00:00,3.1,2.4776087533780893,270.5323911045823,267.21165457720883,0.3152835745642962,0.79657421280209,588.01932,1153.34985,8218.91333,0.0,137.4631,132.47161
2023-11-30 07:00:00,2024-07-17 00:00:00,3.1,2.488839029960147,270.1667425847885,267.2200474162813,0.3152835745642962,0.79657421280209,597.0927,1153.29321,7336.47397,0.0,141.21712,132.69363
2023-11-30 08:00:00,2024-07-17 00:00:00,3.1,2.488839029960147,270.1667425847885,267.2200474162813,0.3152835745642962,0.79657421280209,599.29107,1150.62291,6580.7108,0.0,143.69799,133.03304
2023-11-30 09:00:00,2024-07-17 00:00:00,3.1,2.488839029960147,270.1667425847885,267.2200474162813,0.3152835745642962,0.79657421280209,605.60144,1149.47988,6069.82707,0.0,120.44214,134.66239
2023-11-30 10:00:00,2024-07-17 00:00:00,3.1,2.681561165337474,269.9909426700649,267.2494594475787,0.0,0.6732133564166695,616.38384,1148.95522,5898.36718,0.0,112.55809,137.26879
2023-11-30 11:00:00,2024-07-17 00:00:00,3.1,2.681561165337474,269.9909426700649,267.2494594475787,0.0,0.6732133564166695,619.2337,1151.11072,6043.65246,0.0,111.30237,138.11471
2023-11-30 12:00:00,2024-07-17 00:00:00,3.1,2.681561165337474,269.9909426700649,267.2494594475787,0.0,0.6732133564166695,618.17401,1153.56142,6527.55526,0.0,97.68241,137.04772
2023-11-30 13:00:00,2024-07-17 00:00:00,3.1,3.0368779162298747,269.86387731452123,267.3953314168565,0.7364251037906216,0.3803590983530021,605.24824,1153.04296,7114.93752,0.0,99.60528,138.15926
2023-11-30 14:00:00,2024-07-17 00:00:00,3.1,3.0368779162298747,269.86387731452123,267.3953314168565,0.7364251037906216,0.3803590983530021,597.59531,1152.08135,7608.98793,11.0427,118.73601,137.22284
2023-11-30 15:00:00,2024-07-17 00:00:00,3.1,3.0368779162298747,269.86387731452123,267.3953314168565,0.7364251037906216,0.3803590983530021,579.34315,1151.66786,7966.44075,26.97381,123.75343,136.98607
2023-11-30 16:00:00,2024-07-17 00:00:00,3.1,3.882016099470471,272.3653907537642,267.962859032084,54.89137694125204,1.160995883762964,574.95448,1150.35702,8156.38137,38.6749,128.95747,137.67463
2023-11-30 17:00:00,2024-07-17 00:00:00,3.1,3.882016099470471,272.3653907537642,267.962859032084,54.89137694125204,1.160995883762964,574.37712,1148.42098,8048.09269,49.80591,138.58295,138.37136
2023-11-30 18:00:00,2024-07-17 00:00:00,3.1,3.882016099470471,272.3653907537642,267.962859032084,54.89137694125204,1.160995883762964,591.61397,1145.72532,7849.16106,63.63341,145.70782,136.06945
2023-11-30 19:00:00,2024-07-17 00:00:00,3.1,4.601781421821029,273.4866522727216,268.12342851301764,231.51941314509187,0.9554047040701106,607.11532,1144.51776,7626.97569,72.51709,168.22573,135.50969
2023-11-30 20:00:00,2024-07-17 00:00:00,3.1,4.601781421821029,273.4866522727216,268.12342851301764,231.51941314509187,0.9554047040701106,613.28455,1141.25376,7409.92651,74.12721,191.39089,136.83438
2023-11-30 21:00:00,2024-07-17 00:00:00,3.1,4.601781421821029,273.4866522727216,268.12342851301764,231.51941314509187,0.9554047040701106,606.23213,1141.04317,7393.47286,79.33348,215.25873,135.02644
2023-11-30 22:00:00,2024-07-17 00:00:00,3.1,3.892194744142148,271.6102682323243,268.08432382271866,166.03800184081214,2.1740274733266007,593.53226,1142.09391,7512.05005,78.0452,243.98544,136.49686
2023-11-30 23:00:00,2024-07-17 00:00:00,3.1,3.892194744142148,271.6102682323243,268.08432382271866,166.03800184081214,2.1740274733266007,590.76248,1142.72981,7734.80475,64.78715,258.85544,136.25027
