UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_wind_production_forecast
2023-02-05 07:00:00,2024-07-17 00:00:00,3.1,4.258939349964201,278.1127233903138,276.21596613136643,0.0,0.0,1755.97907,1135.08379,455.48765
2023-02-05 08:00:00,2024-07-17 00:00:00,3.1,4.258939349964201,278.1127233903138,276.21596613136643,0.0,0.0,1761.99799,1102.62408,413.4559
2023-02-05 09:00:00,2024-07-17 00:00:00,3.1,4.258939349964201,278.1127233903138,276.21596613136643,0.0,0.0,1744.73666,1069.58755,378.81052
2023-02-05 10:00:00,2024-07-17 00:00:00,3.1,5.380343933068174,278.430680621434,276.78753780884523,0.0,0.0,1710.23241,1057.3942,340.86201
2023-02-05 11:00:00,2024-07-17 00:00:00,3.1,5.380343933068174,278.430680621434,276.78753780884523,0.0,0.0,1729.93247,1068.27831,315.77596
2023-02-05 12:00:00,2024-07-17 00:00:00,3.1,5.380343933068174,278.430680621434,276.78753780884523,0.0,0.0,1728.48927,1079.56297,303.1312
2023-02-05 13:00:00,2024-07-17 00:00:00,3.1,6.816634333027716,281.1983343156604,278.490919720072,54.92289063709711,0.0,1733.48273,1043.00396,300.57586
2023-02-05 14:00:00,2024-07-17 00:00:00,3.1,6.816634333027716,281.1983343156604,278.490919720072,54.92289063709711,0.0,1778.37896,1049.07071,288.88164
2023-02-05 15:00:00,2024-07-17 00:00:00,3.1,6.816634333027716,281.1983343156604,278.490919720072,54.92289063709711,0.0,1823.5756,1059.65118,238.93531
2023-02-05 16:00:00,2024-07-17 00:00:00,3.1,8.372082353397431,286.72680370938576,280.21905521571784,216.25140484777648,0.0010374355805347,1855.71727,1073.6698,207.04196
2023-02-05 17:00:00,2024-07-17 00:00:00,3.1,8.372082353397431,286.72680370938576,280.21905521571784,216.25140484777648,0.0010374355805347,1908.55466,1049.90167,195.69999
2023-02-05 18:00:00,2024-07-17 00:00:00,3.1,8.372082353397431,286.72680370938576,280.21905521571784,216.25140484777648,0.0010374355805347,1923.68834,1055.6262,214.03038
2023-02-05 19:00:00,2024-07-17 00:00:00,3.1,8.37597571401139,288.77009756283377,280.80960918421306,438.4308788206352,0.0103530806754717,1922.17548,1070.35113,220.69099
2023-02-05 20:00:00,2024-07-17 00:00:00,3.1,8.37597571401139,288.77009756283377,280.80960918421306,438.4308788206352,0.0103530806754717,1907.00639,1117.95206,231.73554
2023-02-05 21:00:00,2024-07-17 00:00:00,3.1,8.37597571401139,288.77009756283377,280.80960918421306,438.4308788206352,0.0103530806754717,1893.82461,1150.1046,229.71853
2023-02-05 22:00:00,2024-07-17 00:00:00,3.1,7.185257931871565,286.268592407243,280.89695363148803,285.20094379320585,0.0332724252626934,1885.86515,1212.84747,231.35056
2023-02-05 23:00:00,2024-07-17 00:00:00,3.1,7.185257931871565,286.268592407243,280.89695363148803,285.20094379320585,0.0332724252626934,1863.36364,1215.35659,240.32043
2023-02-06 00:00:00,2024-07-17 00:00:00,3.1,7.185257931871565,286.268592407243,280.89695363148803,285.20094379320585,0.0332724252626934,1882.24234,1184.24281,304.32393
2023-02-06 01:00:00,2024-07-17 00:00:00,3.1,6.76136492039741,284.892640073168,281.0368094175592,0.0003941009123032,0.0694317980129189,1863.22358,1173.8418,336.58281
2023-02-06 02:00:00,2024-07-17 00:00:00,3.1,6.76136492039741,284.892640073168,281.0368094175592,0.0003941009123032,0.0694317980129189,1817.05128,1173.8966,365.63035
2023-02-06 03:00:00,2024-07-17 00:00:00,3.1,6.76136492039741,284.892640073168,281.0368094175592,0.0003941009123032,0.0694317980129189,1788.08101,1162.54103,375.83478
2023-02-06 04:00:00,2024-07-17 00:00:00,3.1,5.919434323722049,283.6020972822864,280.4219956801528,0.0001839614708837,0.203417566527771,1754.06244,1179.07982,379.71774
2023-02-06 05:00:00,2024-07-17 00:00:00,3.1,5.919434323722049,283.6020972822864,280.4219956801528,0.0001839614708837,0.203417566527771,1735.55439,1175.56981,388.43993
2023-02-06 06:00:00,2024-07-17 00:00:00,3.1,5.919434323722049,283.6020972822864,280.4219956801528,0.0001839614708837,0.203417566527771,1706.98674,1166.42018,406.86798
2023-02-06 07:00:00,2024-07-17 00:00:00,3.1,5.363846673117001,282.15797930938794,279.21594047299266,0.0001839614708837,0.203417566527771,1705.68173,1171.49227,441.1871
2023-02-06 08:00:00,2024-07-17 00:00:00,3.1,5.363846673117001,282.15797930938794,279.21594047299266,0.0001839614708837,0.203417566527771,1707.99263,1137.65464,486.71442
2023-02-06 09:00:00,2024-07-17 00:00:00,3.1,5.363846673117001,282.15797930938794,279.21594047299266,0.0001839614708837,0.203417566527771,1688.28451,1102.01256,511.70088
2023-02-06 10:00:00,2024-07-17 00:00:00,3.1,4.918397910051545,280.735425760402,277.85255409966254,0.0,0.2458447811311117,1652.35578,1088.07815,523.17051
2023-02-06 11:00:00,2024-07-17 00:00:00,3.1,4.918397910051545,280.735425760402,277.85255409966254,0.0,0.2458447811311117,1670.93767,1098.35403,545.55821
2023-02-06 12:00:00,2024-07-17 00:00:00,3.1,4.918397910051545,280.735425760402,277.85255409966254,0.0,0.2458447811311117,1671.54987,1109.2332,585.94653
2023-02-06 13:00:00,2024-07-17 00:00:00,3.1,5.018132334321847,280.6965473191796,276.9373118649028,35.64175308512523,0.1602243066295048,1680.31398,1070.33772,596.95228
2023-02-06 14:00:00,2024-07-17 00:00:00,3.1,5.018132334321847,280.6965473191796,276.9373118649028,35.64175308512523,0.1602243066295048,1729.67452,1075.66076,618.38544
2023-02-06 15:00:00,2024-07-17 00:00:00,3.1,5.018132334321847,280.6965473191796,276.9373118649028,35.64175308512523,0.1602243066295048,1777.64642,1086.87098,621.42106
2023-02-06 16:00:00,2024-07-17 00:00:00,3.1,4.818948280972744,282.9625508580773,276.05777671332925,158.99536193480887,0.3702803184074651,1812.66556,1101.56874,626.6262
2023-02-06 17:00:00,2024-07-17 00:00:00,3.1,4.818948280972744,282.9625508580773,276.05777671332925,158.99536193480887,0.3702803184074651,1866.63177,1076.89897,621.24994
2023-02-06 18:00:00,2024-07-17 00:00:00,3.1,4.818948280972744,282.9625508580773,276.05777671332925,158.99536193480887,0.3702803184074651,1882.91975,1083.44094,630.51101
2023-02-06 19:00:00,2024-07-17 00:00:00,3.1,4.2350797531274855,283.8655320843363,275.3980421475516,351.5736790602643,0.6970782523598328,1882.13928,1099.50239,612.48021
2023-02-06 20:00:00,2024-07-17 00:00:00,3.1,4.2350797531274855,283.8655320843363,275.3980421475516,351.5736790602643,0.6970782523598328,1867.36359,1148.74138,584.87082
2023-02-06 21:00:00,2024-07-17 00:00:00,3.1,4.2350797531274855,283.8655320843363,275.3980421475516,351.5736790602643,0.6970782523598328,1855.10723,1182.5596,530.51772
2023-02-06 22:00:00,2024-07-17 00:00:00,3.1,2.708034907690457,281.29791325462975,275.3459457935836,233.4824197419764,1.979830956385388,1848.00094,1247.68105,510.16143
2023-02-06 23:00:00,2024-07-17 00:00:00,3.1,2.708034907690457,281.29791325462975,275.3459457935836,233.4824197419764,1.979830956385388,1826.50042,1250.42431,506.09767
